subset_size,subset_indices,AV,CC,PAIRS,CONS
4,"[0, 2, 5, 8]",1222,1000,297562,499500
4,"[0, 2, 5, 9]",1443,1196,341294,714610
4,"[0, 2, 5, 10]",1381,1025,312729,524800
4,"[0, 2, 5, 11]",2347,1959,1021215,1917861
4,"[0, 2, 6, 7]",2093,1631,848010,1329265
4,"[0, 2, 6, 8]",1008,913,235498,416328
4,"[0, 2, 6, 9]",1229,1047,275019,547581
4,"[0, 2, 6, 10]",1167,956,252038,456490
4,"[0, 2, 6, 11]",2133,1799,949730,1617301
4,"[0, 2, 7, 8]",1942,1490,823103,1109305
4,"[0, 2, 7, 9]",2163,1681,866489,1412040
4,"[0, 2, 7, 10]",2101,1500,834431,1124250
4,"[0, 2, 7, 11]",3067,2347,1526020,2753031
4,"[0, 2, 8, 9]",1078,966,254188,466095
4,"[0, 2, 8, 10]",1016,807,226930,325221
4,"[0, 2, 8, 11]",1982,1766,937453,1558495
4,"[0, 2, 9, 10]",1237,1004,270607,503506
4,"[0, 2, 9, 11]",2203,1807,958408,1631721
4,"[0, 2, 10, 11]",2141,1810,953965,1637145
4,"[0, 3, 4, 5]",2742,1880,1154429,1766260
4,"[0, 3, 4, 6]",2528,1910,1115005,1823095
4,"[0, 3, 4, 7]",3462,2108,1543256,2220778
4,"[0, 3, 4, 8]",2377,1810,1093362,1637145
4,"[0, 3, 4, 9]",2598,1959,1133067,1917861
4,"[0, 3, 4, 10]",2536,1832,1107316,1677196
4,"[0, 3, 4, 11]",3502,2344,1651519,2745996
4,"[0, 3, 5, 6]",2675,1964,1155343,1927666
4,"[0, 3, 5, 7]",3609,2120,1563403,2246140
4,"[0, 3, 5, 8]",2524,1866,1133715,1740045
4,"[0, 3, 5, 9]",2745,2015,1173416,2029105
4,"[0, 3, 5, 10]",2683,1887,1147339,1779441
4,"[0, 3, 5, 11]",3649,2390,1690070,2854855
4,"[0, 3, 6, 7]",3395,2204,1550350,2427706
4,"[0, 3, 6, 8]",2310,1862,1090426,1732591
4,"[0, 3, 6, 9]",2531,1958,1126104,1915903
4,"[0, 3, 6, 10]",2469,1897,1105225,1798356
4,"[0, 3, 6, 11]",3435,2315,1637223,2678455
4,"[0, 3, 7, 8]",3244,2100,1528742,2203950
4,"[0, 3, 7, 9]",3465,2250,1568250,2530125
4,"[0, 3, 7, 10]",3403,2114,1539007,2233441
4,"[0, 3, 7, 11]",4369,2596,2074256,3368310
4,"[0, 3, 8, 9]",2380,1917,1108569,1836486
4,"[0, 3, 8, 10]",2318,1799,1083619,1617301
4,"[0, 3, 8, 11]",3284,2301,1626872,2646150
4,"[0, 3, 9, 10]",2539,1944,1123231,1888596
4,"[0, 3, 9, 11]",3505,2338,1646457,2731953
4,"[0, 3, 10, 11]",3443,2326,1641456,2703975
4,"[0, 4, 5, 6]",1644,1222,350691,746031
4,"[0, 4, 5, 7]",2578,1580,889765,1247410
4,"[0, 4, 5, 8]",1493,1073,325568,575128
4,"[0, 4, 5, 9]",1714,1265,369218,799480
4,"[0, 4, 5, 10]",1652,1088,339905,591328
4,"[0, 4, 5, 11]",2618,2012,1048181,2023066
4,"[0, 4, 6, 7]",2364,1676,868483,1403650
4,"[0, 4, 6, 8]",1279,1032,267966,531996
4,"[0, 4, 6, 9]",1500,1157,307404,668746
4,"[0, 4, 6, 10]",1438,1062,283586,563391
4,"[0, 4, 6, 11]",2404,1890,981077,1785105
4,"[0, 4, 7, 8]",2213,1534,843579,1175811
4,"[0, 4, 7, 9]",2434,1721,886884,1480060
4,"[0, 4, 7, 10]",2372,1537,854294,1180416
4,"[0, 4, 7, 11]",3338,2375,1545526,2819125
4,"[0, 4, 8, 9]",1349,1077,286563,579426
4,"[0, 4, 8, 10]",1287,913,258479,416328
4,"[0, 4, 8, 11]",2253,1856,968786,1721440
4,"[0, 4, 9, 10]",1508,1105,302073,609960
4,"[0, 4, 9, 11]",2474,1896,989698,1796460
4,"[0, 4, 10, 11]",2412,1893,984411,1790778
4,"[0, 5, 6, 7]",2511,1719,899112,1476621
4,"[0, 5, 6, 8]",1426,1182,325730,697971
4,"[0, 5, 6, 9]",1647,1305,365134,850860
4,"[0, 5, 6, 10]",1585,1207,340879,727821
4,"[0, 5, 6, 11]",2551,1999,1035389,1997001
4,"[0, 5, 7, 8]",2360,1580,874234,1247410
4,"[0, 5, 7, 9]",2581,1762,917494,1551441
4,"[0, 5, 7, 10]",2519,1581,884749,1248990
4,"[0, 5, 7, 11]",3485,2389,1573016,2852466
4,"[0, 5, 8, 9]",1496,1228,344320,753378
4,"[0, 5, 8, 10]",1434,1060,315785,561270
4,"[0, 5, 8, 11]",2400,1969,1023125,1937496
4,"[0, 5, 9, 10]",1655,1251,359360,781875
4,"[0, 5, 9, 11]",2621,2012,1044069,2023066
4,"[0, 5, 10, 11]",2559,2003,1038322,2005003
4,"[0, 6, 7, 8]",2146,1657,850870,1371996
4,"[0, 6, 7, 9]",2367,1775,889928,1574425
4,"[0, 6, 7, 10]",2305,1670,862193,1393615
4,"[0, 6, 7, 11]",3271,2383,1539900,2838153
4,"[0, 6, 8, 9]",1282,1078,278025,580503
4,"[0, 6, 8, 10]",1220,989,255066,488566
4,"[0, 6, 8, 11]",2186,1810,951653,1637145
4,"[0, 6, 9, 10]",1441,1114,294425,619941
4,"[0, 6, 9, 11]",2407,1840,970781,1691880
4,"[0, 6, 10, 11]",2345,1852,968112,1714026
4,"[0, 7, 8, 9]",2216,1708,869337,1457778
4,"[0, 7, 8, 10]",2154,1531,837329,1171215
4,"[0, 7, 8, 11]",3120,2354,1527777,2769481
4,"[0, 7, 9, 10]",2375,1713,880529,1466328
4,"[0, 7, 9, 11]",3341,2399,1548656,2876401
4,"[0, 7, 10, 11]",3279,2370,1539143,2807265
4,"[0, 8, 9, 10]",1290,1036,273613,536130
4,"[0, 8, 9, 11]",2256,1817,960301,1649836
4,"[0, 8, 10, 11]",2194,1821,955861,1657110
4,"[0, 9, 10, 11]",2415,1866,976778,1740045
4,"[1, 2, 3, 4]",1885,1631,953869,1329265
4,"[1, 2, 3, 5]",2032,1663,990426,1381953
4,"[1, 2, 3, 6]",1818,1633,939895,1332528
4,"[1, 2, 3, 7]",2752,1979,1429593,1957231
4,"[1, 2, 3, 8]",1667,1532,918280,1172746
