subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
4,"[5, 6, 7, 8]",1965,1577,781021,1242676,False,0.99609375,0.44975967040512704,0.6074730354391371,0.3765306693098634,0.368931600713711,0.99609375
4,"[5, 6, 7, 9]",2186,1700,820566,1444150,True,1.0,0.5003433279926757,0.6548536209553159,0.3955953363519257,0.428746166475176,1.0
4,"[5, 6, 7, 10]",2124,1606,796544,1288815,False,0.99609375,0.486152437628748,0.6186440677966102,0.3840143164585278,0.3826295679435681,0.99609375
4,"[5, 6, 7, 11]",3090,2298,1471177,2639253,True,1.0,0.7072556649118792,0.8852080123266564,0.7092552703234316,0.7835540671731521,1.0
4,"[5, 6, 8, 9]",1101,940,180478,441330,False,0.99609375,0.2520027466239414,0.362095531587057,0.08700854667890559,0.13102416345288884,0.99609375
4,"[5, 6, 8, 10]",1039,904,164824,408156,False,0.99609375,0.23781185626001372,0.34822804314329736,0.07946174435556652,0.1211753074984191,0.99609375
4,"[5, 6, 8, 11]",2005,1665,855087,1385280,True,1.0,0.45891508354314486,0.6413713405238829,0.4122379301301286,0.41126855901030485,1.0
4,"[5, 6, 9, 10]",1260,1035,204679,535095,False,0.99609375,0.28839551384756235,0.39869029275808937,0.09867586257433991,0.15886156559224063,0.99609375
4,"[5, 6, 9, 11]",2226,1703,874732,1449253,True,1.0,0.5094987411306935,0.6560092449922958,0.4217087958284802,0.43026116954793353,1.0
4,"[5, 6, 10, 11]",2164,1762,879283,1551441,True,1.0,0.49530785076676587,0.6787365177195686,0.42390283552271274,0.46059923225593846,1.0
4,"[5, 7, 8, 9]",2035,1637,800055,1339066,True,1.0,0.4657816433966583,0.6305855161787365,0.3857069715599232,0.3975483254213537,1.0
4,"[5, 7, 8, 10]",1973,1469,771735,1078246,False,0.99609375,0.4515907530327306,0.5658705701078582,0.37205388341651174,0.3201148350359676,0.99609375
4,"[5, 7, 8, 11]",2939,2267,1459071,2568511,True,1.0,0.6726939803158618,0.8732665639445301,0.7034189608225793,0.7625518435060906,1.0
4,"[5, 7, 9, 10]",2194,1660,815445,1376970,False,0.99609375,0.5021744106202792,0.6394453004622496,0.3931264993327728,0.40880144642268673,0.99609375
