subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
9,385000,"[1, 5, 4, 7, 9, 10, 2, 8, 12]",1448,258,32126,33153,0.7479338842975206,0.9885057471264368,0.9468317123489537,0.9770999115826702
10,455000,"[1, 5, 4, 7, 9, 10, 2, 8, 6, 12]",1610,259,32718,33411,0.8316115702479339,0.9923371647509579,0.9642793987621574,0.9847038019451813
10,470000,"[1, 5, 4, 7, 9, 10, 2, 8, 6, 3]",1689,259,32899,33411,0.8724173553719008,0.9923371647509579,0.9696139109932214,0.9847038019451813
11,555000,"[1, 5, 4, 7, 9, 10, 2, 8, 6, 12, 3]",1802,259,32946,33411,0.9307851239669421,0.9923371647509579,0.9709991158267021,0.9847038019451813
8,310000,"[1, 5, 4, 7, 9, 10, 2, 6]",1347,259,32419,33411,0.6957644628099173,0.9923371647509579,0.9554671382257589,0.9847038019451813
9,395000,"[1, 5, 4, 7, 9, 10, 2, 6, 12]",1460,259,32503,33411,0.7541322314049587,0.9923371647509579,0.9579428234600649,0.9847038019451813
10,485000,"[1, 5, 4, 7, 9, 10, 2, 8, 12, 3]",1640,258,32498,33153,0.8471074380165289,0.9885057471264368,0.9577954612437372,0.9770999115826702
8,310000,"[1, 5, 4, 7, 9, 10, 8, 6]",1302,259,32161,33411,0.6725206611570248,0.9923371647509579,0.9478632478632478,0.9847038019451813
7,280000,"[1, 5, 4, 7, 9, 10, 3]",1182,257,31610,32896,0.6105371900826446,0.9846743295019157,0.9316239316239316,0.9695254936634247
9,410000,"[1, 5, 4, 7, 9, 10, 2, 6, 3]",1539,259,32817,33411,0.7949380165289256,0.9923371647509579,0.9671971706454465,0.9847038019451813
7,240000,"[1, 5, 4, 7, 9, 10, 8]",1140,257,31179,32896,0.5888429752066116,0.9846743295019157,0.918921308576481,0.9695254936634247
7,265000,"[1, 5, 4, 7, 9, 10, 12]",1103,258,30704,33153,0.5697314049586777,0.9885057471264368,0.9049218980253463,0.9770999115826702
9,400000,"[1, 5, 4, 7, 9, 10, 2, 8, 3]",1527,258,32425,33153,0.7887396694214877,0.9885057471264368,0.9556439728853522,0.9770999115826702
9,425000,"[1, 5, 4, 7, 9, 10, 2, 12, 3]",1490,258,32400,33153,0.7696280991735537,0.9885057471264368,0.9549071618037135,0.9770999115826702
8,325000,"[1, 5, 4, 7, 9, 10, 2, 12]",1298,258,31837,33153,0.6704545454545454,0.9885057471264368,0.9383141762452107,0.9770999115826702
