subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
6,235880,"[9, 8, 3, 4, 10, 5]",2031,584,154976,170236,0.4726553409355364,0.8943338437978561,0.7744850126435517,0.7996880842548314
7,392445,"[9, 8, 3, 4, 10, 5, 1]",2560,632,184231,199396,0.5957644868512916,0.9678407350689127,0.9206854504202856,0.9366679506571839
8,642445,"[9, 8, 3, 4, 10, 5, 1, 0]",2947,635,185743,201295,0.6858273213870142,0.9724349157733537,0.9282415967856393,0.9455885530679544
7,485880,"[9, 8, 3, 4, 10, 5, 0]",2418,599,161620,179101,0.562718175471259,0.9173047473200613,0.8076880790796693,0.8413316547506083
6,284955,"[9, 8, 3, 4, 10, 1]",2560,632,184231,199396,0.5957644868512916,0.9678407350689127,0.9206854504202856,0.9366679506571839
7,534955,"[9, 8, 3, 4, 10, 1, 0]",2947,635,185743,201295,0.6858273213870142,0.9724349157733537,0.9282415967856393,0.9455885530679544
6,378390,"[9, 8, 3, 4, 10, 0]",2418,599,161620,179101,0.562718175471259,0.9173047473200613,0.8076880790796693,0.8413316547506083
5,129470,"[9, 8, 3, 4, 7]",2102,584,156621,170236,0.48917849662555274,0.8943338437978561,0.7827058200317838,0.7996880842548314
6,221720,"[9, 8, 3, 4, 7, 2]",2603,618,176642,190653,0.6057714684663719,0.9464012251148545,0.882759792505822,0.8955974783678915
7,329210,"[9, 8, 3, 4, 7, 2, 5]",2603,618,176642,190653,0.6057714684663719,0.9464012251148545,0.882759792505822,0.8955974783678915
8,485775,"[9, 8, 3, 4, 7, 2, 5, 1]",3132,647,195746,208981,0.728880614382127,0.9908116385911179,0.9782311021379096,0.9816937400764757
9,735775,"[9, 8, 3, 4, 7, 2, 5, 1, 0]",3519,649,196774,210276,0.8189434489178496,0.9938744257274119,0.9833684820741422,0.9877770366125198
8,579210,"[9, 8, 3, 4, 7, 2, 5, 0]",2990,626,180283,195625,0.6958343030020945,0.9586523736600306,0.9009555126885288,0.9189535790452747
7,378285,"[9, 8, 3, 4, 7, 2, 1]",3132,647,195746,208981,0.728880614382127,0.9908116385911179,0.9782311021379096,0.9816937400764757
8,628285,"[9, 8, 3, 4, 7, 2, 1, 0]",3519,649,196774,210276,0.8189434489178496,0.9938744257274119,0.9833684820741422,0.9877770366125198
7,471720,"[9, 8, 3, 4, 7, 2, 0]",2990,626,180283,195625,0.6958343030020945,0.9586523736600306,0.9009555126885288,0.9189535790452747
6,236960,"[9, 8, 3, 4, 7, 5]",2102,584,156621,170236,0.48917849662555274,0.8943338437978561,0.7827058200317838,0.7996880842548314
7,393525,"[9, 8, 3, 4, 7, 5, 1]",2631,627,182833,196251,0.6122876425413079,0.9601837672281777,0.9136990135031134,0.9218942304982196
8,643525,"[9, 8, 3, 4, 7, 5, 1, 0]",3018,630,184337,198135,0.7023504770770305,0.9647779479326187,0.9212151802580684,0.9307443700147502
7,486960,"[9, 8, 3, 4, 7, 5, 0]",2489,598,162658,178503,0.5792413311612753,0.9157733537519143,0.8128754335289002,0.8385225340335779
6,286035,"[9, 8, 3, 4, 7, 1]",2631,627,182833,196251,0.6122876425413079,0.9601837672281777,0.9136990135031134,0.9218942304982196
7,536035,"[9, 8, 3, 4, 7, 1, 0]",3018,630,184337,198135,0.7023504770770305,0.9647779479326187,0.9212151802580684,0.9307443700147502
6,379470,"[9, 8, 3, 4, 7, 0]",2489,598,162658,178503,0.5792413311612753,0.9157733537519143,0.8128754335289002,0.8385225340335779
