subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
7,697100,"[6, 8, 10, 4, 0, 11, 9]",3898,1813,1051569,1642578,0.6136649874055415,0.957233368532207,0.83249600998138,0.9162740960276592
7,562100,"[6, 8, 10, 4, 0, 12, 2]",3939,1744,1030150,1519896,0.6201196473551638,0.9208025343189018,0.8155392225163718,0.8478387835804785
7,642100,"[6, 8, 10, 4, 0, 12, 7]",4146,1726,1044483,1488675,0.6527078085642317,0.91129883843717,0.8268862338024244,0.8304228717929838
7,697100,"[6, 8, 10, 4, 0, 12, 9]",3894,1812,1051221,1640766,0.6130352644836272,0.9567053854276664,0.8322205086957073,0.9152633137926592
6,362100,"[6, 8, 10, 4, 0, 2]",3847,1735,1028998,1504245,0.6056360201511335,0.916050686378036,0.8146272182603519,0.8391082356996906
6,442100,"[6, 8, 10, 4, 0, 7]",4054,1717,1043317,1473186,0.6382241813602015,0.9065469904963042,0.8259631461613488,0.8217826918603581
6,355580,"[6, 8, 10, 0, 5, 3]",4012,1772,1057517,1569106,0.6316120906801007,0.9355860612460402,0.8372048652893713,0.8752894424018685
7,555580,"[6, 8, 10, 0, 5, 3, 11]",4108,1781,1059127,1585090,0.6467254408060453,0.940337909186906,0.838479454570788,0.8842057466205455
7,555580,"[6, 8, 10, 0, 5, 3, 12]",4104,1779,1058684,1581531,0.646095717884131,0.9392819429778247,0.8381287446008081,0.8822204408951781
7,615580,"[6, 8, 10, 0, 5, 3, 2]",4487,1816,1089614,1648020,0.7063916876574308,0.9588173178458288,0.8626151088705081,0.9193097896937028
7,695580,"[6, 8, 10, 0, 5, 3, 7]",4694,1795,1104367,1610115,0.7389798488664987,0.9477296726504753,0.8742946217082347,0.8981653633042538
7,617580,"[6, 8, 10, 0, 5, 11, 2]",3896,1788,1030589,1597578,0.6133501259445844,0.9440337909186906,0.815886765804907,0.8911718882048072
7,697580,"[6, 8, 10, 0, 5, 11, 7]",4103,1761,1041202,1549680,0.6459382871536524,0.9297782470960928,0.8242887633475623,0.8644530981981635
7,617580,"[6, 8, 10, 0, 5, 12, 2]",3892,1788,1030220,1597578,0.6127204030226701,0.9440337909186906,0.8155946394416508,0.8911718882048072
7,697580,"[6, 8, 10, 0, 5, 12, 7]",4099,1761,1040833,1549680,0.645308564231738,0.9297782470960928,0.8239966369843059,0.8644530981981635
6,497580,"[6, 8, 10, 0, 5, 7]",4007,1749,1039450,1528626,0.6308249370277078,0.9234424498416052,0.8229017568748654,0.8527086118981118
5,103100,"[6, 8, 1, 4, 0]",3922,1809,1171102,1635336,0.6174433249370277,0.9551214361140444,0.9271267432581352,0.9122343140487016
6,183580,"[6, 8, 1, 4, 0, 5]",4727,1824,1202296,1662576,0.7441750629722922,0.9630411826821542,0.9518221085031732,0.9274295171841348
7,381580,"[6, 8, 1, 4, 0, 5, 3]",5414,1846,1231518,1702935,0.8523299748110831,0.9746568109820486,0.9749562997960656,0.94994285064019
8,581580,"[6, 8, 1, 4, 0, 5, 3, 11]",5510,1855,1232777,1719585,0.8674433249370277,0.9794086589229144,0.9759530127807264,0.9592306675346453
8,581580,"[6, 8, 1, 4, 0, 5, 3, 12]",5506,1850,1232369,1710325,0.8668136020151134,0.9767687434002112,0.975630011273386,0.9540651909915429
8,641580,"[6, 8, 1, 4, 0, 5, 3, 2]",5889,1871,1255602,1749385,0.9271095717884132,0.9878563885955648,0.994022888773481,0.9758539073817784
7,383580,"[6, 8, 1, 4, 0, 5, 11]",4823,1833,1203608,1679028,0.7592884130982368,0.96779303062302,0.9528607800169734,0.9366068843641694
8,583580,"[6, 8, 1, 4, 0, 5, 11, 12]",4915,1840,1204592,1691880,0.773772040302267,0.9714889123548046,0.9536397836523236,0.943776074918376
8,643580,"[6, 8, 1, 4, 0, 5, 11, 2]",5298,1864,1230370,1736316,0.8340680100755667,0.9841605068637804,0.9740474622214904,0.9685636684031816
7,383580,"[6, 8, 1, 4, 0, 5, 12]",4819,1831,1203283,1675365,0.7586586901763224,0.9667370644139388,0.9526034871496069,0.9345635646473892
8,643580,"[6, 8, 1, 4, 0, 5, 12, 2]",5294,1862,1230049,1732591,0.8334382871536524,0.9831045406546992,0.9737933360355682,0.96648576342229
7,443580,"[6, 8, 1, 4, 0, 5, 2]",5202,1856,1229089,1721440,0.8189546599496221,0.9799366420274552,0.9730333324888848,0.9602654363237872
7,523580,"[6, 8, 1, 4, 0, 5, 7]",5409,1844,1247615,1699246,0.8515428211586902,0.9736008447729672,0.9876998175991488,0.9478850274255566
7,578580,"[6, 8, 1, 4, 0, 5, 9]",5157,1883,1242205,1771903,0.8118702770780857,0.9941921858500528,0.9834168809454444,0.9884150521763336
6,301100,"[6, 8, 1, 4, 0, 3]",4609,1838,1209198,1688203,0.7255982367758187,0.9704329461457232,0.9572862173356808,0.9417249456258288
7,501100,"[6, 8, 1, 4, 0, 3, 11]",4705,1847,1210487,1704781,0.7407115869017632,0.9751847940865892,0.9583066804311754,0.9509725989877674
7,501100,"[6, 8, 1, 4, 0, 3, 12]",4701,1843,1210115,1697403,0.7400818639798489,0.9730728616684268,0.9580121790568356,0.9468569525585008
7,561100,"[6, 8, 1, 4, 0, 3, 2]",5084,1864,1234159,1736316,0.8003778337531486,0.9841605068637804,0.9770471012198056,0.9685636684031816
