election,n_voters,n_projects,budget,committee_size,total_cost,ejr_abcvoting,alpha_ilp,validation,error
poland_warszawa_2017_marysin-polnocny,397,8,124802,5,124360,True,0.27422747977624146,MISMATCH,
poland_warszawa_2017_marysin-poludniowy,265,2,128824,1,115000,True,0.20542635658914732,MISMATCH,
poland_warszawa_2017_miedzeszyn,545,8,117063,2,113450,True,0.3950619995826423,MISMATCH,
poland_warszawa_2017_miedzylesie,465,11,133458,6,132500,True,0.6968484467023334,MISMATCH,
poland_warszawa_2017_nadwisle,108,5,98600,5,98600,True,1.0,PASS,
poland_warszawa_2017_niskie-okecie,440,5,336250,4,329140,False,0.4330708661417323,EXPECTED,
poland_warszawa_2017_piaski,577,7,900000,5,896339,True,1.0,PASS,
poland_warszawa_2017_plac-wojska-polskiego,27,4,51195,4,44720,True,1.0,PASS,
poland_warszawa_2017_przyczolek-grochowski,176,4,102533,2,98000,True,0.2227848101265823,MISMATCH,
poland_warszawa_2017_radiowo-wolka-weglowa-placowka-huta,228,2,200000,1,199999,True,0.7862068965517242,MISMATCH,
poland_warszawa_2017_radosc,258,6,130502,6,130502,True,1.0,PASS,
poland_warszawa_2017_sadul,120,3,110180,2,67900,True,1.0,PASS,
poland_warszawa_2017_slodowiec,674,8,650000,6,582650,True,0.013755102040816326,MISMATCH,
poland_warszawa_2017_subunit-wawer,373,5,115208,3,109976,True,0.11655440594403166,MISMATCH,
poland_warszawa_2017_targowek-fabryczny-elsnerow-i-utrata,377,11,625320,6,616205,True,1.0,PASS,
poland_warszawa_2017_ursus-polnocny,1158,13,763500,7,740815,True,0.35655978108335673,MISMATCH,
poland_warszawa_2017_wawrzyszew,2238,13,700000,7,696100,True,0.3764288198757764,MISMATCH,
poland_warszawa_2017_zerzen,327,2,132036,1,118800,True,0.5274193548387097,MISMATCH,
poland_warszawa_2017_zielona-grzybowa,268,8,148884,5,140460,True,0.3728693863295298,MISMATCH,
poland_warszawa_2017_zielony-ursynow,743,12,1100000,6,1098420,True,0.3367339572192513,MISMATCH,
poland_warszawa_2017_zoliborz-poludniowy-powazki,1733,5,475000,4,447746,True,0.3413039049235993,MISMATCH,
poland_warszawa_2018_aleksandrow,475,6,117431,3,113500,True,0.9469565514601813,MISMATCH,
poland_warszawa_2018_czyste-mirow,586,5,1011464,4,946108,True,1.0,PASS,
poland_warszawa_2018_falenica,498,8,162175,5,153620,True,0.6550948049946046,MISMATCH,
poland_warszawa_2018_grochow-polnocny,936,9,541057,8,452707,True,0.29656236377524525,MISMATCH,
poland_warszawa_2018_kamionek,1225,11,308151,3,300500,True,0.26680025409838404,MISMATCH,
poland_warszawa_2018_kolo,609,13,754436,12,722970,True,1.0,PASS,
poland_warszawa_2018_las,388,12,123927,12,122063,True,1.0,PASS,
poland_warszawa_2018_marysin-wawerski-polnocny,300,8,141968,3,138500,True,1.0,PASS,
poland_warszawa_2018_marysin-wawerski-poludniowy,506,4,148188,2,137050,True,1.0,PASS,
poland_warszawa_2018_miedzeszyn,454,7,126341,3,119600,True,0.8919125874033623,MISMATCH,
poland_warszawa_2018_miedzylesie,446,6,156239,3,154600,True,1.0,PASS,
poland_warszawa_2018_muranow,882,8,920000,7,899268,True,1.0,PASS,
poland_warszawa_2018_nadwisle,157,3,124744,3,82100,True,1.0,PASS,
poland_warszawa_2018_niskie-okecie,229,12,372500,6,367735,True,0.9221476510067114,MISMATCH,
poland_warszawa_2018_obszar-1-plac-wojska-polskiego-wola-grzybowska-centrum-groszowka-grzybowa-zielona,1061,11,354466,7,353594,True,0.75429519333307,MISMATCH,
poland_warszawa_2018_obszar-2-stara-milosna,856,12,327724,5,321800,True,0.6429425135409439,MISMATCH,
poland_warszawa_2018_obszar-4-zoliborz-poludniowy-powazki,3482,5,487500,1,485000,True,0.1125877065347431,MISMATCH,
poland_warszawa_2018_pole-mokotowskie,8,1,21064,1,21064,True,1.0,PASS,
poland_warszawa_2018_przyczolek-grochowski,94,1,106165,1,65000,True,1.0,PASS,
poland_warszawa_2018_przywisle,824,11,1120000,11,836775,True,1.0,PASS,
poland_warszawa_2018_radiowo-wolka-weglowa-placowka-huta,149,1,200000,1,200000,True,1.0,PASS,
poland_warszawa_2018_radosc,792,11,162345,3,161100,True,0.41162339462256303,MISMATCH,
poland_warszawa_2018_rejon-4,1058,13,280330,6,255129,True,0.7808531078519528,MISMATCH,
poland_warszawa_2018_rejon-7,955,13,639560,4,639370,True,0.1604647971599878,MISMATCH,
poland_warszawa_2018_sadul,91,2,116735,2,112600,True,1.0,PASS,
poland_warszawa_2018_slodowiec,716,6,650000,6,455266,True,1.0,PASS,
poland_warszawa_2018_srodmiescie-polnocne,477,9,1120000,8,1111440,True,1.0,PASS,
poland_warszawa_2018_stare-miasto,302,7,920000,7,576450,True,1.0,PASS,
poland_warszawa_2018_subunit-wawer,301,5,125794,3,110084,True,0.745049504950495,MISMATCH,
poland_warszawa_2018_wawrzyszew,1866,12,700000,12,598901,True,1.0,PASS,
poland_warszawa_2018_wilanow-obszar-i,1664,9,600000,5,599920,True,1.0,PASS,
poland_warszawa_2018_wilanow-obszar-ii,901,13,600000,8,597626,True,0.1580701754385965,MISMATCH,
poland_warszawa_2018_wola,5544,11,500000,11,367110,True,1.0,PASS,
poland_warszawa_2018_zerzen,678,6,156573,4,152794,True,1.0,PASS,
poland_warszawa_2019_aleksandrow,529,5,125362,2,125360,True,0.4198412698412699,MISMATCH,
poland_warszawa_2019_bemowo-lotnisko-fort-bema,606,6,1233000,6,1223450,True,1.0,PASS,
poland_warszawa_2019_boernerowo-fort-radiowo-gorce-groty,963,6,766000,5,727820,True,0.19016170436843144,MISMATCH,
poland_warszawa_2019_brodno-podgrodzie,494,11,400000,7,392080,True,0.25033783783783786,MISMATCH,
poland_warszawa_2019_chrzanow-jelonki-poludniowe-jelonki-polnocne,1588,8,1323000,5,1212287,True,1.0,PASS,
poland_warszawa_2019_falenica,652,10,187723,5,187300,True,0.5720568885758146,MISMATCH,
poland_warszawa_2019_grochow-centrum,598,8,376634,3,374300,True,0.5880549325910074,MISMATCH,
poland_warszawa_2019_grochow-kinowa,491,10,222176,4,219940,True,0.21666271290310737,MISMATCH,
