subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
3,"[1, 2, 7]",30,19,120,171,True,1.0,0.6,0.6551724137931034,0.4013377926421405,0.4211822660098522,1.0
3,"[1, 3, 4]",46,26,275,325,True,1.0,0.92,0.896551724137931,0.919732441471572,0.8004926108374384,1.0
3,"[1, 3, 5]",37,23,198,253,True,1.0,0.74,0.7931034482758621,0.6622073578595318,0.6231527093596059,1.0
3,"[1, 3, 6]",33,22,181,231,True,1.0,0.66,0.7586206896551724,0.6053511705685619,0.5689655172413793,1.0
3,"[1, 3, 7]",38,24,212,276,True,1.0,0.76,0.8275862068965517,0.7090301003344481,0.6798029556650246,1.0
3,"[1, 4, 5]",39,27,254,351,True,1.0,0.78,0.9310344827586207,0.8494983277591973,0.8645320197044335,1.0
3,"[1, 4, 6]",35,25,218,300,True,1.0,0.7,0.8620689655172413,0.7290969899665551,0.7389162561576355,1.0
3,"[1, 4, 7]",40,25,230,300,True,1.0,0.8,0.8620689655172413,0.7692307692307693,0.7389162561576355,1.0
3,"[1, 5, 6]",26,21,101,210,True,1.0,0.52,0.7241379310344828,0.3377926421404682,0.5172413793103449,1.0
3,"[1, 5, 7]",31,22,137,231,True,1.0,0.62,0.7586206896551724,0.45819397993311034,0.5689655172413793,1.0
3,"[1, 6, 7]",27,20,106,190,True,1.0,0.54,0.6896551724137931,0.35451505016722407,0.46798029556650245,1.0
3,"[2, 3, 4]",48,28,295,378,True,1.0,0.96,0.9655172413793104,0.9866220735785953,0.9310344827586207,1.0
3,"[2, 3, 5]",39,26,220,325,True,1.0,0.78,0.896551724137931,0.7357859531772575,0.8004926108374384,1.0
3,"[2, 3, 6]",35,26,203,325,True,1.0,0.7,0.896551724137931,0.6789297658862876,0.8004926108374384,1.0
3,"[2, 3, 7]",40,26,236,325,True,1.0,0.8,0.896551724137931,0.7892976588628763,0.8004926108374384,1.0
3,"[2, 4, 5]",41,29,271,406,True,1.0,0.82,1.0,0.9063545150501672,1.0,1.0
3,"[2, 4, 6]",37,27,235,351,True,1.0,0.74,0.9310344827586207,0.7859531772575251,0.8645320197044335,1.0
3,"[2, 4, 7]",42,27,248,351,True,1.0,0.84,0.9310344827586207,0.8294314381270903,0.8645320197044335,1.0
3,"[2, 5, 6]",28,24,118,276,True,1.0,0.56,0.8275862068965517,0.39464882943143814,0.6798029556650246,1.0
3,"[2, 5, 7]",33,25,157,300,True,1.0,0.66,0.8620689655172413,0.5250836120401338,0.7389162561576355,1.0
3,"[2, 6, 7]",29,23,126,253,True,1.0,0.58,0.7931034482758621,0.4214046822742475,0.6231527093596059,1.0
3,"[3, 4, 5]",49,29,299,406,True,1.0,0.98,1.0,1.0,1.0,1.0
3,"[3, 4, 6]",45,26,271,325,True,1.0,0.9,0.896551724137931,0.9063545150501672,0.8004926108374384,1.0
3,"[3, 4, 7]",50,27,286,351,True,1.0,1.0,0.9310344827586207,0.9565217391304348,0.8645320197044335,1.0
3,"[3, 5, 6]",36,25,202,300,True,1.0,0.72,0.8620689655172413,0.6755852842809364,0.7389162561576355,1.0
3,"[3, 5, 7]",41,27,236,351,True,1.0,0.82,0.9310344827586207,0.7892976588628763,0.8645320197044335,1.0
3,"[3, 6, 7]",37,25,216,300,True,1.0,0.74,0.8620689655172413,0.7224080267558528,0.7389162561576355,1.0
3,"[4, 5, 6]",38,27,241,351,True,1.0,0.76,0.9310344827586207,0.8060200668896321,0.8645320197044335,1.0
3,"[4, 5, 7]",43,27,254,351,True,1.0,0.86,0.9310344827586207,0.8494983277591973,0.8645320197044335,1.0
3,"[4, 6, 7]",39,23,217,253,True,1.0,0.78,0.7931034482758621,0.725752508361204,0.6231527093596059,1.0
3,"[5, 6, 7]",30,23,136,253,True,1.0,0.6,0.7931034482758621,0.45484949832775917,0.6231527093596059,1.0
4,"[0, 1, 2, 3]",46,26,222,325,True,1.0,0.7540983606557377,0.8387096774193549,0.6788990825688074,0.6989247311827957,1.0
4,"[0, 1, 2, 4]",48,27,255,351,True,1.0,0.7868852459016393,0.8709677419354839,0.7798165137614679,0.7548387096774194,1.0
